[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 1570 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 1212 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 4832 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 3305 from 1001
[2017-11-28 13:00:40]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 7499 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 6803 from 1001
[2017-11-28 13:00:40]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 6440 from 1001
[2017-11-28 13:00:40]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 1350 from 1001
[2017-11-28 13:00:40]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 7533 from 1001
[2017-11-28 13:00:40]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:40]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 1890 from 1001
[2017-11-28 13:00:41]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:41]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:41]: Peer 1002 has downloaded the piece 3712 from 1001
[2017-11-28 13:00:41]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:41]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:41]: Peer 1002 has downloaded the piece 8388 from 1001
[2017-11-28 13:00:41]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:41]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:41]: Peer 1002 has downloaded the piece 1702 from 1001
[2017-11-28 13:00:41]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:41]: Peer 1002 has downloaded the piece 6331 from 1001
[2017-11-28 13:00:41]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:41]: Peer 1002 has downloaded the piece 2935 from 1001
[2017-11-28 13:00:41]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:41]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:41]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:41]: Peer 1002 has downloaded the piece 6358 from 1001
[2017-11-28 13:00:41]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:41]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:41]: Peer 1002 has downloaded the piece 868 from 1001
[2017-11-28 13:00:41]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:41]: Peer 1002 received the 'have' message from 1003
